pachyderm	 thick-skinned animal
punctilious	 minutely attentive (perhaps too much so) to fine points; stressing niceties of conduct or form; N. punctilio, punctiliousness: careful attention payed to every small exact detail
pundit	 authority on a subject; expert; learned person
pungent	 stinging; acrid; sharp in taste or smell; (of speech or writing) caustic; N. pungency
punitive	 punishing; Ex. punitive measures
puny	 tiny; weak; insignificant
purchase	 secure grasp or hold; firm grasp or footing
purgatory	 place of spiritual expiation; temporary state or place in which the souls must expiate their sins
purge	 remove or get rid of something or someone unwanted; eliminate; free from blame or guilt; cleanse or purify (esp. of sin, guilt, or defilement); N.
purport	 intention; purpose; meaning; V: claim; profess; Ex. order which purports to be signed by the general
purported	 alleged; claimed; reputed or rumored; Ex. purported Satanists
purse	 pucker; contract (lips) into wrinkles; N: wallet
purveyor	 furnisher of foodstuffs; caterer; V. purvey: supply (eg. food); furnish; CF. provide
pushy	 disagreeably aggressive
pusillanimous	 cowardly; lacking courage; fainthearted
putative	 supposed; reputed; generally regarded as such; Ex. putative father of the child
putrefy	 make or become putrid; N. putrefaction
putrescent	 becoming putrid; putrefying
putrid	 decayed and foul-smelling; foul; rotten; decayed; N. putridity
puzzle	 baffle or confuse by a difficult problem; ponder over a problem in an effort to solve; clarify or solve by reasoning; Ex. puzzle out the answer; N.
pyromaniac	 person with an insane desire to set things on fire
